ROUTE_ID,STOP_ID,ROUTE_NAME,STOP_NAME,OBJECTID,x,y
4622,14001000,Pukete,"20 Tupelo St, Hamilton",1,1796797.002,5821113.3696
19537,14001013,Meteor,"126 Ellicott Rd, Hamilton",2,1797207.2951,5815458.1785
3771,14001013,Orbiter,"126 Ellicott Rd, Hamilton",3,1797207.2951,5815458.1785
4620,14001015,Te Rapa,"202 Sandwich Rd, Hamilton",4,1798126.531,5819726.9019
4622,14001015,Pukete,"202 Sandwich Rd, Hamilton",5,1798126.531,5819726.9019
4622,14001017,Pukete,"86 Sandwich Rd, Hamilton",6,1798725.7996,5819252.1279
4622,14001020,Pukete,"12 Braid Rd, Hamilton",7,1799043.4963,5818674.1892
9032,14001024,Rototuna Circular,"10 Borman Rd, Hamilton",8,1800816.2789,5822674.5472
9032,14001025,Rototuna Circular,"Opp 22 Borman Rd, Hamilton",9,1800932.8443,5822640.9566
4622,14001028,Pukete,"1340 Victoria St, Hamilton",10,1799472.5324,5817250.5646
4612,14001029,Claudelands,"18 Fifth Ave, Hamilton",11,1802128.9325,5817007.722
4606,14001036,Fairfield,"611 Victoria St, Hamilton",12,1800761.5614,5815713.0604
4612,14001036,Claudelands,"611 Victoria St, Hamilton",13,1800761.5614,5815713.0604
4616,14001036,Rototuna,"611 Victoria St, Hamilton",14,1800761.5614,5815713.0604
4622,14001036,Pukete,"611 Victoria St, Hamilton",15,1800761.5614,5815713.0604
4648,14001036,Chartwell,"611 Victoria St, Hamilton",16,1800761.5614,5815713.0604
9022,14001036,Flagstaff,"611 Victoria St, Hamilton",17,1800761.5614,5815713.0604
9032,14001036,Rototuna Circular,"611 Victoria St, Hamilton",18,1800761.5614,5815713.0604
4606,14001038,Fairfield,"967 Victoria St, Hamilton",19,1800376.7217,5816274.8412
4616,14001038,Rototuna,"967 Victoria St, Hamilton",20,1800376.7217,5816274.8412
4622,14001038,Pukete,"967 Victoria St, Hamilton",21,1800376.7217,5816274.8412
4648,14001038,Chartwell,"967 Victoria St, Hamilton",22,1800376.7217,5816274.8412
9022,14001038,Flagstaff,"967 Victoria St, Hamilton",23,1800376.7217,5816274.8412
9032,14001038,Rototuna Circular,"967 Victoria St, Hamilton",24,1800376.7217,5816274.8412
19537,14001043,Meteor,"150 Tristram St, Hamilton",25,1800358.6289,5815462.8086
4612,14001044,Claudelands,"15C Chedworth Ave, Hamilton",26,1801190.0186,5819238.6312
3771,14001049,Orbiter,"121 Discovery Dr, Hamilton",27,1798783.303,5821991.9349
4641,14001049,Flagstaff North,"121 Discovery Dr, Hamilton",28,1798783.303,5821991.9349
3720,14001054,Tamahere/Matangi,"211 Cambridge Rd, Hamilton (Caltex)",29,1804361.9596,5813751.1698
4604,14001054,Hillcrest,"211 Cambridge Rd, Hamilton (Caltex)",30,1804361.9596,5813751.1698
4618,14001054,Hamilton Gardens Uni,"211 Cambridge Rd, Hamilton (Caltex)",31,1804361.9596,5813751.1698
4606,14001058,Fairfield,"61 Bankwood Rd, Hamilton (Fairfield College)",32,1800543.4631,5818211.1041
4616,14001058,Rototuna,"61 Bankwood Rd, Hamilton (Fairfield College)",33,1800543.4631,5818211.1041
9022,14001058,Flagstaff,"61 Bankwood Rd, Hamilton (Fairfield College)",34,1800543.4631,5818211.1041
9032,14001058,Rototuna Circular,"61 Bankwood Rd, Hamilton (Fairfield College)",35,1800543.4631,5818211.1041
15643,14001066,Bremworth / Templeview,"38 King St, Hamilton",36,1799717.4843,5815318.8802
19537,14001068,Meteor,"2 Nevada Rd, Hamilton",37,1804877.9296,5814916.9342
19537,14001071,Meteor,"150 Masters Ave, Hamilton",38,1804987.7054,5814597.7361
19537,14001074,Meteor,"68 Masters Ave, Hamilton",39,1804355.8336,5814390.2161
19537,14001078,Meteor,"96 Hillcrest Rd, Hamilton",40,1804096.4561,5814830.4229
19537,14001080,Meteor,"66 Hyde Ave, Hamilton (Nawton Mall)",41,1796982.5506,5816080.1018
19537,14001083,Meteor,"272 Clyde St, Hamilton (opp Four Square)",42,1803326.6777,5814957.0279
3771,14001083,Orbiter,"272 Clyde St, Hamilton (opp Four Square)",43,1803326.6777,5814957.0279
4610,14001083,University,"272 Clyde St, Hamilton (opp Four Square)",44,1803326.6777,5814957.0279
3771,14001089,Orbiter,"Opp 27 Te Kōwhai Rd E, Hamilton",45,1796179.6844,5820174.4095
4604,14001091,Hillcrest,"401 Grey St, Hamilton",46,1801901.0173,5814715.3645
4618,14001091,Hamilton Gardens Uni,"401 Grey St, Hamilton",47,1801901.0173,5814715.3645
3771,14001098,Orbiter,"158 Pūkete Rd, Hamilton",48,1797284.2863,5820573.6311
4604,14001100,Hillcrest,"430 Grey St, Hamilton",49,1801896.8953,5814787.973
4618,14001100,Hamilton Gardens Uni,"430 Grey St, Hamilton",50,1801896.8953,5814787.973
9022,14001101,Flagstaff,"Opp 1105 River Rd, Hamilton",51,1798838.7201,5820318.658
9032,14001101,Rototuna Circular,"Opp 1105 River Rd, Hamilton",52,1798838.7201,5820318.658
19537,14001109,Meteor,"271 Clyde St, Hamilton (Four Square)",53,1803319.5218,5814965.9146
3771,14001109,Orbiter,"271 Clyde St, Hamilton (Four Square)",54,1803319.5218,5814965.9146
4610,14001109,University,"271 Clyde St, Hamilton (Four Square)",55,1803319.5218,5814965.9146
4648,14001124,Chartwell,"558 River Rd, Hamilton",56,1799931.9552,5817284.8363
9022,14001124,Flagstaff,"558 River Rd, Hamilton",57,1799931.9552,5817284.8363
9032,14001124,Rototuna Circular,"558 River Rd, Hamilton",58,1799931.9552,5817284.8363
19537,14001125,Meteor,"42 Lloyd Dr, Hamilton",59,1796462.2563,5816718.2518
4608,14001126,Fitzroy,"78 Alison St, Hamilton (opp Gower Park)",60,1799954.1145,5813129.5472
19537,14001129,Meteor,"57 Silverdale Rd, Hamilton",61,1805102.1839,5814520.9305
4618,14001129,Hamilton Gardens Uni,"57 Silverdale Rd, Hamilton",62,1805102.1839,5814520.9305
4638,14001130,Dinsdale,"211 Grandview Rd, Hamilton",63,1796352.2004,5815658.7431
4610,14001135,University,"21 Wilson St, Hamilton",64,1802634.8497,5815281.162
3771,14001139,Orbiter,"44 Whatawhata Rd, Hamilton (Dinsdale Shops)",65,1797735.1019,5814531
4638,14001139,Dinsdale,"44 Whatawhata Rd, Hamilton (Dinsdale Shops)",66,1797735.1019,5814531
3720,14001141,Tamahere/Matangi,"69 Knighton Rd, Hamilton",67,1803418.5591,5814823.0031
4618,14001141,Hamilton Gardens Uni,"69 Knighton Rd, Hamilton",68,1803418.5591,5814823.0031
15643,14001144,Bremworth / Templeview,"30 Tuhikaramea Rd, Hamilton",69,1797880.6341,5814430.7451
19537,14001145,Meteor,"167 Dinsdale Rd, Hamilton",70,1796968.5906,5814866.8953
4638,14001145,Dinsdale,"167 Dinsdale Rd, Hamilton",71,1796968.5906,5814866.8953
3771,14001147,Orbiter,"120 Killarney Rd, Hamilton",72,1798847.1796,5814531.985
4638,14001147,Dinsdale,"120 Killarney Rd, Hamilton",73,1798847.1796,5814531.985
12858,14001161,Comet,"400 Ulster St, Hamilton",74,1799393.8964,5816984.2093
3771,14001163,Orbiter,"67 Anglesea St, Hamilton",75,1801291.2123,5814535.9888
4608,14001163,Fitzroy,"67 Anglesea St, Hamilton",76,1801291.2123,5814535.9888
3771,14001168,Orbiter,"219A Killarney Rd, Hamilton",77,1798100.811,5814546.9054
4638,14001168,Dinsdale,"219A Killarney Rd, Hamilton",78,1798100.811,5814546.9054
3771,14001170,Orbiter,"180 Whatawhata Rd, Hamilton",79,1796862.823,5814319.3937
3771,14001171,Orbiter,"112 Avalon Dr, Hamilton (Turners)",80,1797392.1483,5817117.1414
12858,14001178,Comet,"31 Bruce Ave, Hamilton",81,1801423.2477,5811925.9523
4618,14001185,Hamilton Gardens Uni,"49 MacFarlane St, Hamilton",82,1801908.2503,5813740.6273
19537,14001189,Meteor,"20 Lloyd Dr, Hamilton",83,1796450.5721,5816878.639
12858,14001190,Comet,"740 Te Rapa Rd, Hamilton (Z Service Station)",84,1797397.4889,5819303.1533
3771,14001191,Orbiter,"Opp 1162 River Rd, Hamilton",85,1798405.4611,5820824.8608
9032,14001191,Rototuna Circular,"Opp 1162 River Rd, Hamilton",86,1798405.4611,5820824.8608
9022,14001200,Flagstaff,"94 Endeavour Ave, Hamilton",87,1798485.6465,5821434.279
15643,14001201,Bremworth / Templeview,"3 Amanda Ave, Hamilton",88,1797602.7513,5813987.2936
9022,14001203,Flagstaff,"Opp 23 Endeavour Ave, Hamilton",89,1798904.015,5820912.6667
3771,14001204,Orbiter,"1126 River Rd, Hamilton",90,1798663.9636,5820696.9431
9022,14001204,Flagstaff,"1126 River Rd, Hamilton",91,1798663.9636,5820696.9431
9032,14001204,Rototuna Circular,"1126 River Rd, Hamilton",92,1798663.9636,5820696.9431
4620,14001208,Te Rapa,"185 Māeroa Rd, Hamilton",93,1798944.85,5816364.507
3771,14001212,Orbiter,Lynden Court East A (Chartwell Shopping Centre),94,1800757.8847,5819337.8438
4606,14001212,Fairfield,Lynden Court East A (Chartwell Shopping Centre),95,1800757.8847,5819337.8438
4612,14001212,Claudelands,Lynden Court East A (Chartwell Shopping Centre),96,1800757.8847,5819337.8438
4616,14001212,Rototuna,Lynden Court East A (Chartwell Shopping Centre),97,1800757.8847,5819337.8438
4641,14001212,Flagstaff North,Lynden Court East A (Chartwell Shopping Centre),98,1800757.8847,5819337.8438
4648,14001212,Chartwell,Lynden Court East A (Chartwell Shopping Centre),99,1800757.8847,5819337.8438
9022,14001212,Flagstaff,Lynden Court East A (Chartwell Shopping Centre),100,1800757.8847,5819337.8438
9032,14001212,Rototuna Circular,Lynden Court East A (Chartwell Shopping Centre),101,1800757.8847,5819337.8438
3771,14001216,Orbiter,"52 Hukanui Rd, Hamilton",102,1801256.4808,5818390.026
4641,14001216,Flagstaff North,"52 Hukanui Rd, Hamilton",103,1801256.4808,5818390.026
4656,14001219,Nawton,"60 Grandview Rd, Hamilton",104,1797333.6462,5816432.9318
9032,14001221,Rototuna Circular,"140 Clarkin Rd, Hamilton",105,1800615.1329,5817773.3223
4618,14001222,Hamilton Gardens Uni,"44 MacFarlane St, Hamilton",106,1801922.5891,5813702.3959
19537,14001224,Meteor,"Transport Centre (Bryce St, Platform 3)",107,1800582.1008,5815403.3617
4616,14001232,Rototuna,Lynden Court West E (Chartwell Shopping Centre),108,1800727.9349,5819364.9554
4641,14001232,Flagstaff North,Lynden Court West E (Chartwell Shopping Centre),109,1800727.9349,5819364.9554
4648,14001232,Chartwell,Lynden Court West E (Chartwell Shopping Centre),110,1800727.9349,5819364.9554
9022,14001232,Flagstaff,Lynden Court West E (Chartwell Shopping Centre),111,1800727.9349,5819364.9554
9032,14001232,Rototuna Circular,Lynden Court West E (Chartwell Shopping Centre),112,1800727.9349,5819364.9554
3771,14001235,Orbiter,"7 Foreman Rd, Hamilton",113,1796892.4214,5818292.2975
4656,14001235,Nawton,"7 Foreman Rd, Hamilton",114,1796892.4214,5818292.2975
19537,14001239,Meteor,"Opp 132 Masters Ave, Hamilton",115,1804814.9743,5814536.6353
3771,14001247,Orbiter,"77 Hukanui Rd, Hamilton",116,1801226.5041,5818399.9432
4641,14001247,Flagstaff North,"77 Hukanui Rd, Hamilton",117,1801226.5041,5818399.9432
3771,14001254,Orbiter,"Opp 452 Hukanui Rd, Hamilton",118,1800369.373,5821439.0193
4641,14001254,Flagstaff North,"Opp 452 Hukanui Rd, Hamilton",119,1800369.373,5821439.0193
9032,14001254,Rototuna Circular,"Opp 452 Hukanui Rd, Hamilton",120,1800369.373,5821439.0193
15643,14001255,Bremworth / Templeview,"Opp 39 Amanda Ave, Hamilton",121,1797310.9755,5813822.8617
4648,14001257,Chartwell,"50 Glen Lynne Ave, Hamilton",122,1799980.6478,5819846.6723
9022,14001257,Flagstaff,"50 Glen Lynne Ave, Hamilton",123,1799980.6478,5819846.6723
9032,14001257,Rototuna Circular,"50 Glen Lynne Ave, Hamilton",124,1799980.6478,5819846.6723
12858,14001259,Comet,"381 Te Rapa Rd, Hamilton (Road and Sport)",125,1798419.3396,5817933.4763
