WKT,SA22019_V1_00,SA22019_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM,LATITUDE,LONGITUDE,EASTING,NORTHING,Shape_X,Shape_Y
"POINT (1747349.492 5427776.3138)",251100,Kelburn,0.4950599,0.4950599,-41.28801613861467,174.75968909129122,1747349.492021902,5427776.3138,1747349.492,5427776.3138
"POINT (1822013.79065 5464384.47205)",255600,Ngaumutawa,0.85307097,0.85307097,-40.94152580917755,175.63736769001605,1822013.7906689593,5464384.47205,1822013.79065,5464384.47205
"POINT (1626512.6447 5433568.8086)",304300,Atawhai,4.53225261,4.53225261,-41.24885493951598,173.31643864595083,1626512.6447,5433568.808620706,1626512.6447,5433568.8086
"POINT (1594357.6591 6167176.1004)",100100,North Cape,826.76815577,826.76815577,-34.637299651470194,172.9384376633617,1594357.6591053267,6167176.100400001,1594357.6591,6167176.1004
"POINT (1618572.7 6130836.8836)",100200,Rangaunu Harbour,272.07500876,272.07500876,-34.96484229464304,173.20344561971336,1618572.7000000002,6130836.883584397,1618572.7,6130836.8836
"POINT (1704886.41375 6102923.13245)",100300,Inlets Far North District,0,626.09638124,-35.21123516273443,174.15236237608764,1704886.4137499956,6102923.132458802,1704886.41375,6102923.13245
"POINT (1634562.57445 6127415.0549)",100400,Karikari Peninsula,174.1880925,174.1880925,-34.99527816149175,173.37873836446747,1634562.5744499997,6127415.05492072,1634562.57445,6127415.0549
"POINT (1619562.134 6109873.567)",100500,Tangonge,177.2085017,177.2085017,-35.15385595835725,173.21477829038247,1619562.134004022,6109873.567,1619562.134,6109873.567
"POINT (1614071.59905 6108322.02055)",100600,Ahipara,4.52919466,4.52919466,-35.16793837687437,173.15452281919795,1614071.5990445414,6108322.02055,1614071.59905,6108322.02055
"POINT (1623781.7567 6115674.7791)",100700,Kaitaia East,5.26639829,5.26639829,-35.1014545340807,173.2609394421924,1623781.7566999998,6115674.779081143,1623781.7567,6115674.7791
"POINT (1623582.1063 6113730.6062)",100800,Kaitaia West,3.21189033,3.21189033,-35.11899019620616,173.25880426676096,1623582.1063000013,6113730.606175721,1623582.1063,6113730.6062
"POINT (1629099.19275 6113098.7417)",100900,Rangitihi,84.63288825,84.63288825,-35.12454339943704,173.3193735838033,1629099.1927464386,6113098.7417,1629099.19275,6113098.7417
"POINT (1641545.577 6123158.1742)",101000,Oruru-Parapara,103.36075462,103.36075462,-35.033400201094096,173.45546924555418,1641545.5770075452,6123158.1742,1641545.577,6123158.1742
"POINT (1646542.60905 6127074.43275)",101100,Taumarumaru,10.23412752,10.23412752,-34.997869071851326,173.5100311956627,1646542.6090578781,6127074.432749998,1646542.60905,6127074.43275
"POINT (1618891.7698 6098507.9368)",101200,Herekino-Takahue,303.69037071,303.69037071,-35.256353540334956,173.2076789726244,1618891.7698227442,6098507.936799999,1618891.7698,6098507.9368
"POINT (1641813.95925 6114858.28105)",101300,Peria,199.58762842,199.58762842,-35.108229643984544,173.45883015669128,1641813.9592368803,6114858.28105,1641813.95925,6114858.28105
"POINT (1652809.93805 6123992.4508)",101400,Taemaro-Oruaiti,156.74222305,156.74222305,-35.025351227401835,173.578903768054,1652809.9380500019,6123992.450781727,1652809.93805,6123992.4508
"POINT (1660463.4437 6121224.83865)",101500,Whakapaku,200.88351093,200.88351093,-35.049876977628635,173.6629985491555,1660463.4437000423,6121224.83862971,1660463.4437,6121224.83865
"POINT (1631829.6695 6084324.97535)",101600,Hokianga North,345.93483672,345.93483672,-35.3839107348495,173.3504559685022,1631829.6694999998,6084324.97534593,1631829.6695,6084324.97535
"POINT (1640022.7668 6096399.36535)",101700,Kohukohu-Broadwood,209.19924243,209.19924243,-35.274744451764484,173.44007227611624,1640022.7668000036,6096399.365347724,1640022.7668,6096399.36535
"POINT (1676776.215 6120002.0614)",101800,Whakarara,169.49618886,169.49618886,-35.0597926725732,173.84197047116712,1676776.2149999999,6120002.061422087,1676776.215,6120002.0614
